Generation,MaxFitness,AvgFitness
202,4472.530446,2795.423764
203,4472.530446,2709.198160
204,4472.530446,2673.479344
205,4472.530446,2833.200022
206,4476.682570,2710.889395
207,4476.682570,2695.013431
208,4476.682570,2886.223809
209,4476.682570,2788.782398
210,4476.682570,2974.535140
211,4476.682570,2685.950720
212,4476.682570,2701.216604
213,4476.682570,2909.938499
214,4476.682570,2815.332370
215,4479.472835,2797.285945
216,4479.472835,2680.544611
217,4479.472835,2913.054286
218,4479.472835,2718.965058
219,4479.472835,2564.295937
220,4479.472835,2671.354666
221,4479.472835,2748.648206
222,4488.381639,2793.047155
223,4488.381639,2810.705465
224,4488.381639,3153.897459
225,4488.381639,2843.624244
226,4488.381639,2736.131386
227,4488.381639,2891.637544
228,4488.381639,3223.958246
229,4488.381639,2778.255134
230,4488.381639,2814.044337
231,4488.381639,2856.431853
232,4488.381639,2782.116759
233,4488.381639,2721.142601
234,4488.381639,2762.561670
235,4497.590591,2903.980068
236,4497.590591,2861.104505
237,4497.590591,2690.021549
238,4497.590591,2498.728289
239,4498.029064,2701.817826
240,4498.029064,2775.015174
241,4498.791744,2973.342411
242,4498.791744,2618.716173
243,4498.791744,2486.860170
244,4498.791744,2786.278492
245,4498.791744,2941.262965
246,4498.791744,2915.356779
247,4498.791744,2889.430518
248,4498.791744,2783.561707
249,4498.791744,3034.745605
250,4498.791744,2336.648889
251,4498.791744,2662.600612
252,4498.791744,2470.057847
253,4498.791744,2637.919646
254,4498.791744,2870.974577
255,4498.791744,2919.056592
256,4501.691176,2992.620083
257,4501.691176,2620.936626
258,4501.691176,2942.156043
259,4501.691176,2869.909727
260,4501.691176,3001.905204
261,4501.691176,2768.097636
262,4501.691176,2707.925981
263,4501.691176,2920.599307
264,4501.779193,2979.374227
265,4501.779193,2895.406289
266,4501.779193,3011.952396
267,4501.779193,2666.767460
268,4501.779193,2554.442501
269,4501.779193,2655.938778
270,4503.002175,2829.740296
271,4503.002175,2372.051321
272,4503.002175,2660.758663
273,4503.002175,2570.862956
274,4503.002175,2772.327019
275,4503.002175,2632.812971
276,4503.002175,2663.658961
277,4503.002175,2738.060932
278,4503.092315,2931.337146
279,4503.092315,2698.438831
280,4506.156361,2639.322050
281,4506.156361,2566.321957
282,4506.156361,2391.096739
283,4506.156361,2551.255767
284,4506.156361,2492.876989
285,4506.156361,2591.649062
286,4506.156361,2601.214792
287,4506.156361,2524.185710
288,4506.156361,2523.490435
289,4506.156361,2560.806673
290,4506.156361,2527.790851
291,4506.156361,2428.651989
292,4506.156361,2576.356957
293,4506.156361,2655.739689
294,4506.156361,2535.581185
295,4506.156361,2851.208386
296,4506.156361,2825.967038
297,4506.156361,2761.295367
298,4506.156361,2742.633535
299,4506.156361,2916.898508
300,4506.156361,3059.415101
301,4506.199207,2961.487939
302,4506.204725,2701.731171
303,4506.204725,2861.715875
